retailer,retailer_id,invoice_date,region,state,city,beverage_brand,delivery_company,price_per_unit ($),units_sold,total_sales ($),operating_profit ($),operating_margin (%),year,month,day,weekday,Month_Name
Walmart,1185732,2022-01-14,Northeast,New York,New York,Coca-Cola,USPS,0.5,12000.0,6000.0,3000.0,50.0,2022,1,14,Friday,January
Walmart,1185732,2022-01-14,Northeast,New York,New York,Diet Coke,FedEx,0.5,10000.0,5000.0,1500.0,30.0,2022,1,14,Friday,January
Walmart,1185732,2022-01-14,Northeast,New York,New York,Sprite,UPS,0.4,10000.0,4000.0,1400.0,35.0,2022,1,14,Friday,January
Walmart,1185732,2022-01-14,Northeast,New York,New York,Fanta,USPS,0.45,8500.0,3825.0,1339.0,35.0,2022,1,14,Friday,January
Walmart,1185732,2022-01-14,Northeast,New York,New York,Powerade,USPS,0.6,9000.0,5400.0,1620.0,30.0,2022,1,14,Friday,January
Walmart,1185732,2022-01-14,Northeast,New York,New York,Dasani Water,DHL,0.5,10000.0,5000.0,1250.0,25.0,2022,1,14,Friday,January
Walmart,1185732,2022-02-12,Northeast,New York,New York,Coca-Cola,FedEx,0.5,12500.0,6250.0,3125.0,50.0,2022,2,12,Saturday,February
Walmart,1185732,2022-02-12,Northeast,New York,New York,Diet Coke,FedEx,0.5,9000.0,4500.0,1350.0,30.0,2022,2,12,Saturday,February
Walmart,1185732,2022-02-12,Northeast,New York,New York,Sprite,USPS,0.4,9500.0,3800.0,1330.0,35.0,2022,2,12,Saturday,February
Walmart,1185732,2022-02-12,Northeast,New York,New York,Fanta,UPS,0.45,8250.0,3713.0,1299.0,35.0,2022,2,12,Saturday,February
Walmart,1185732,2022-02-12,Northeast,New York,New York,Powerade,UPS,0.6,9000.0,5400.0,1620.0,30.0,2022,2,12,Saturday,February
Walmart,1185732,2022-02-12,Northeast,New York,New York,Dasani Water,UPS,0.5,10000.0,5000.0,1250.0,25.0,2022,2,12,Saturday,February
Walmart,1185732,2022-03-10,Northeast,New York,New York,Coca-Cola,UPS,0.5,12200.0,6100.0,3050.0,50.0,2022,3,10,Thursday,March
Walmart,1185732,2022-03-10,Northeast,New York,New York,Diet Coke,FedEx,0.5,9250.0,4625.0,1388.0,30.0,2022,3,10,Thursday,March
Walmart,1185732,2022-03-10,Northeast,New York,New York,Sprite,DHL,0.4,9500.0,3800.0,1330.0,35.0,2022,3,10,Thursday,March
Walmart,1185732,2022-03-10,Northeast,New York,New York,Fanta,DHL,0.45,8000.0,3600.0,1260.0,35.0,2022,3,10,Thursday,March
Walmart,1185732,2022-03-10,Northeast,New York,New York,Powerade,DHL,0.6,8500.0,5100.0,1530.0,30.0,2022,3,10,Thursday,March
Walmart,1185732,2022-03-10,Northeast,New York,New York,Dasani Water,USPS,0.5,9500.0,4750.0,1188.0,25.0,2022,3,10,Thursday,March
Walmart,1185732,2022-04-11,Northeast,New York,New York,Coca-Cola,FedEx,0.5,12000.0,6000.0,3000.0,50.0,2022,4,11,Monday,April
Walmart,1185732,2022-04-11,Northeast,New York,New York,Diet Coke,DHL,0.5,9000.0,4500.0,1350.0,30.0,2022,4,11,Monday,April
Walmart,1185732,2022-04-11,Northeast,New York,New York,Sprite,FedEx,0.4,9000.0,3600.0,1260.0,35.0,2022,4,11,Monday,April
Walmart,1185732,2022-04-11,Northeast,New York,New York,Fanta,USPS,0.45,8250.0,3713.0,1299.0,35.0,2022,4,11,Monday,April
Walmart,1185732,2022-04-11,Northeast,New York,New York,Powerade,FedEx,0.6,8250.0,4950.0,1485.0,30.0,2022,4,11,Monday,April
Walmart,1185732,2022-04-11,Northeast,New York,New York,Dasani Water,DHL,0.5,9500.0,4750.0,1188.0,25.0,2022,4,11,Monday,April
Walmart,1185732,2022-05-10,Northeast,New York,New York,Coca-Cola,USPS,0.6,12200.0,7320.0,3660.0,50.0,2022,5,10,Tuesday,May
Walmart,1185732,2022-05-10,Northeast,New York,New York,Diet Coke,DHL,0.55,9250.0,5088.0,1526.0,30.0,2022,5,10,Tuesday,May
Walmart,1185732,2022-05-10,Northeast,New York,New York,Sprite,UPS,0.5,9000.0,4500.0,1575.0,35.0,2022,5,10,Tuesday,May
Walmart,1185732,2022-05-10,Northeast,New York,New York,Fanta,FedEx,0.5,8500.0,4250.0,1488.0,35.0,2022,5,10,Tuesday,May
Walmart,1185732,2022-05-10,Northeast,New York,New York,Powerade,DHL,0.6,8750.0,5250.0,1575.0,30.0,2022,5,10,Tuesday,May
Walmart,1185732,2022-05-10,Northeast,New York,New York,Dasani Water,FedEx,0.65,10000.0,6500.0,1625.0,25.0,2022,5,10,Tuesday,May
